superkingdom;phylum;class;order;family;genus;species;;Eau18S;Normalisation (%);Sol18S;Normalisation (%)
ASV_920;Eukaryota;Zoopagomycota;Kickxellomycetes;Kickxellales;Kickxellaceae;Spiromyces;Spiromyces minutus;0;;4;
ASV_684;Eukaryota;Ciliophora;Oligohymenophorea;Astomatida;Radiophryidae;Metaracoelophrya;Metaracoelophrya sp. 2 MCSK-2011;0;;0;
ASV_1262;Eukaryota;NA;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;Ochromonas sphaerocystis;0;;28;
ASV_344;Eukaryota;Ciliophora;Colpodea;Colpodida;Colpodidae;Colpoda;Colpoda steini;0;;13;
ASV_731;Eukaryota;Rotifera;Eurotatoria;Ploima;Brachionidae;Brachionus;Brachionus urceolaris;0;;75;
ASV_270;Eukaryota;Ciliophora;Spirotrichea;Urostylida;Holostichidae;Holosticha;Holosticha multistylata;0;;24;
ASV_121;Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Dumontiaceae;Cryptosiphonia;Cryptosiphonia woodii;0;;25;
ASV_503;Eukaryota;Basidiomycota;Dacrymycetes;Dacrymycetales;Dacrymycetaceae;Dacrymyces;Dacrymyces stillatus;0;;37;
ASV_600;Eukaryota;Discosea;Flabellinia;Dactylopodida;Vexilliferidae;Vexillifera;Vexillifera armata;18;;70;
ASV_727;Eukaryota;Ciliophora;Litostomatea;Haptorida;Pseudoholophryidae;Paraenchelys;Paraenchelys terricola;0;;86;
ASV_575;Eukaryota;Ciliophora;Colpodea;Grossglockneriida;Grossglockneriidae;Pseudoplatyophrya;Pseudoplatyophrya nana;0;;36;
ASV_756;Eukaryota;NA;Filasterea;NA;NA;Capsaspora;Capsaspora owczarzaki;0;;4;
ASV_844;Eukaryota;NA;NA;Rotosphaerida;Nucleariidae;Nuclearia;Nuclearia delicatula;0;;22;
ASV_373;Eukaryota;Ciliophora;Spirotrichea;Sporadotrichida;Oxytrichidae;Pseudogastrostyla;Pseudogastrostyla sp. YH-2018a;0;;85;
